N,n,C,Q,A,agent_answer,extracted_number,Correct
264,64,1C,Wie gro� ist das gesamte Exposure der drei gr��ten Darlehen im Portfolio?,11503415.92,"Die drei größten Darlehen im Portfolio nach Exposure:
- ClientID: ECHRUXCNYI, CollateralID: 72XHWHWARKEJ, Exposure: 4269020.01 CHF, LoanClass: Mortgage, Type: Rollover, Rating: A+
- ClientID: HBVVIWQIBV, CollateralID: 88IXNYZAZGBC, Exposure: 3839462.76 CHF, LoanClass: Mortgage, Type: Rollover, Rating: AA
- ClientID: CATVCCUFMF, CollateralID: 75BUIJXPNONX, Exposure: 3394933.15 CHF, LoanClass: Mortgage, Type: Rollover, Rating: A-
Gesamtexposure der drei größten Darlehen: 11503415.92 CHF",11503415.92,True
265,65,1C,Was ist die gemeinsame Exponierung der drei gr��ten Kredite im Portfolio?,11503415.92,"Top 3 Kredite nach Exposition:
1. ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Mortgage/Rollover, Exposure 4269020.01 CHF
2. ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Mortgage/Rollover, Exposure 3839462.76 CHF
3. ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Mortgage/Rollover, Exposure 3394933.15 CHF

Gesamtexponierung je Währung (Top 3 Kredite):
- 11503415.92 CHF

Gesamtexponierung der drei größten Kredite: 11503415.92 CHF",11503415.92,True
266,66,1C,Wie hoch ist das zusammengefasste Exposure der drei gr��ten Kredite im Portfolio?,11503415.92,Die drei größten Kredite kumulieren sich auf 11503415.92 CHF.,11503415.92,True
267,67,1C,Nennen Sie die gesamte Summe der Exposures der drei gr��ten Kredite im Portfolio.,11503415.92,Die Gesamtsumme der Exposures der drei größten Kredite im Portfolio beträgt 11503415.92.,11503415.92,True
268,68,1C,Qual � l�esposizione totale dei tre prestiti pi� grandi nel portafoglio?,11503415.92,La somma dell'esposizione dei tre prestiti più grandi è 11503415.92 CHF.,11503415.92,True
269,69,1C,Qual � l�esposizione complessiva dei tre principali prestiti del portafoglio?,11503415.92,L'esposizione complessiva dei tre principali prestiti è 11503415.92 CHF.,11503415.92,True
270,70,1C,Fornisci l�esposizione aggregata dei tre prestiti pi� grandi nel portafoglio.,11503415.92,"Esposizione aggregata dei tre prestiti più grandi nel portafoglio:
- Position 1: Cliente César Ziltener, Prestito, Classe Mortgage, Tipo Rollover, Esposizione 4269020.01 CHF, Maturità 31.03.2026, Collaterale Single-Family Home in Switzerland
- Position 2: Cliente Kenza Afra, Prestito, Classe Mortgage, Tipo Rollover, Esposizione 3839462.76 CHF, Maturità 31.05.2026, Collaterale Apartment in Switzerland
- Position 3: Cliente Yosyas Meier, Prestito, Classe Mortgage, Tipo Rollover, Esposizione 3394933.15 CHF, Maturità 28.02.2026, Collaterale Apartment in Switzerland
Totale esposizione top 3: 11503415.92 CHF",11503415.92,True
271,71,1C,Qual � l�esposizione cumulata dei tre prestiti pi� rilevanti nel portafoglio?,11503415.92,"Esposizione cumulata dei tre prestiti più rilevanti nel portafoglio: 11503415.92
Dettagli dei tre prestiti (ClientID, CollateralID, Esposizione, CCY):
 - Cliente ECHRUXCNYI, Collaterale 72XHWHWARKEJ, Esposizione 4269020.01 CHF
 - Cliente HBVVIWQIBV, Collaterale 88IXNYZAZGBC, Esposizione 3839462.76 CHF
 - Cliente CATVCCUFMF, Collaterale 75BUIJXPNONX, Esposizione 3394933.15 CHF",11503415.92,True
272,72,1C,Quanto ammonta in totale l�esposizione dei tre prestiti maggiori del portafoglio?,11503415.92,La somma delle esposizioni dei tre prestiti maggiori è 11503415.92 CHF.,11503415.92,True
273,73,1C,Qual � l�importo totale di esposizione per i tre prestiti pi� grandi del portafoglio?,11503415.92,L'importo totale di esposizione dei tre prestiti più grandi del portafoglio è 11503415.92 CHF.,11503415.92,True
274,74,1C,Qual � la somma delle esposizioni dei tre prestiti principali del portafoglio?,11503415.92,La somma delle esposizioni dei tre prestiti principali del portafoglio è 11503415.92 CHF.,11503415.92,True
275,75,1C,Indica l�esposizione globale dei tre prestiti pi� grandi nel portafoglio.,11503415.92,"I tre prestiti più grandi nel portafoglio (in ordine decrescente di esposizione):\n1. ClienteID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Tipo=Rollover, Esposizione=4269020.01 CHF, Maturity=31.03.2026\n2. ClienteID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Tipo=Rollover, Esposizione=3839462.76 CHF, Maturity=31.05.2026\n3. ClienteID CATVCCUFMF, CollateralID 75BUIJXPNONX, Tipo=Rollover, Esposizione=3394933.15 CHF, Maturity=28.02.2026\n\nEsposizione globale (somma delle tre esposizioni): 11,503,415.92 CHF",11503415.92,True
276,76,1C,Qual � l�esposizione combinata dei tre maggiori prestiti del portafoglio?,11503415.92,Esposizione combinata dei tre maggiori prestiti: 11503415.92 CHF,11503415.92,True
277,77,1C,Qual � l�impegno totale (esposizione) dei tre prestiti pi� grandi del portafoglio?,11503415.92,"Qual è l'impegno totale (esposizione) dei tre prestiti più grandi del portafoglio?
I tre prestiti principali sono:
- Prestito per César Ziltener (ClientID ECHRUXCNYI), Collaterale 72XHWHWARKEJ, Esposizione 4269020.01 CHF, Classe Prestito: Mortgage, Tipo: Rollover, Maturità: 31.03.2026, Collaterale: Single-Family Home, Paese Collaterale: Switzerland
- Prestito per Kenza Afra (ClientID HBVVIWQIBV), Collaterale 88IXNYZAZGBC, Esposizione 3839462.76 CHF, Classe Prestito: Mortgage, Tipo: Rollover, Maturità: 31.05.2026, Collaterale: Apartment, Paese Collaterale: Switzerland
- Prestito per Yosyas Meier (ClientID CATVCCUFMF), Collaterale 75BUIJXPNONX, Esposizione 3394933.15 CHF, Classe Prestito: Mortgage, Tipo: Rollover, Maturità: 28.02.2026, Collaterale: Apartment, Paese Collaterale: Switzerland
Totale esposizioni dei tre prestiti più grandi: 11503415.92 CHF",11503415.92,True
278,78,1C,Fornisci il valore totale di esposizione dei tre prestiti pi� importanti del portafoglio.,11503415.92,Totale esposizione dei tre prestiti più importanti: 11503415.92 CHF,11503415.92,True
279,79,1C,Qual � il totale delle esposizioni per i tre prestiti di maggiore entit� nel portafoglio?,11503415.92,"Il totale delle esposizioni per i tre prestiti di maggiore entità nel portafoglio è 11,503,416 CHF.",11503416.0,True
280,80,1C,Qual � l�esposizione all-in dei tre prestiti pi� grandi del portafoglio?,11503415.92,"I tre prestiti più grandi per esposizione (All-in espostion per ciascun prestito, per currency):

- Prestito 1: Cliente César Ziltener (ClientID ECHRUXCNYI)
  Esposizione: 4269020.01 CHF | LoanClass: Mortgage | Type: Rollover | Maturity: 31.03.2026
  Collaterale: CollateralID 72XHWHWARKEJ, Tipo: Single-Family Home | Valore Collaterale: 4760000 CHF | Ubicazione Collaterale: Switzerland, 4937 Ursenbach
- Prestito 2: Cliente Kenza Afra (ClientID HBVVIWQIBV)
  Esposizione: 3839462.76 CHF | LoanClass: Mortgage | Type: Rollover | Maturity: 31.05.2026
  Collaterale: CollateralID 88IXNYZAZGBC, Tipo: Apartment | Valore Collaterale: 4105000 CHF | Ubicazione Collaterale: Switzerland, 1246 Corsier GE
- Prestito 3: Cliente Yosyas Meier (ClientID CATVCCUFMF)
  Esposizione: 3394933.15 CHF | LoanClass: Mortgage | Type: Rollover | Maturity: 28.02.2026
  Collaterale: CollateralID 75BUIJXPNONX, Tipo: Apartment | Valore Collaterale: 4319000 CHF | Ubicazione Collaterale: Switzerland, 5025 Asp

Totale esposizioni per valuta CHF: 11503415.92 CHF

Somma totale esposizioni dei 3 prestiti (senza conversione valutaria): 11503415.92 (note: valuta riporta per ciascun prestito)",11503415.92,True
281,81,1C,Qual � l�esposizione congiunta dei tre principali finanziamenti del portafoglio?,11503415.92,"Esposizione congiunta dei tre principali finanziamenti del portafoglio:
1. Cliente César Ziltener (ID ECHRUXCNYI), Prestito: Mortgage / Rollover, Esposizione: 4269020 CHF, Collateral ID: 72XHWHWARKEJ, Immobile: Single-Family Home, Località: 4937 Ursenbach, Switzerland
2. Cliente Kenza Afra (ID HBVVIWQIBV), Prestito: Mortgage / Rollover, Esposizione: 3839463 CHF, Collateral ID: 88IXNYZAZGBC, Immobile: Apartment, Località: 1246 Corsier GE, Switzerland
3. Cliente Yosyas Meier (ID CATVCCUFMF), Prestito: Mortgage / Rollover, Esposizione: 3394933 CHF, Collateral ID: 75BUIJXPNONX, Immobile: Apartment, Località: 5025 Asp, Switzerland

Esposizione congiunta totale: 11503416 CHF",11503416.0,True
282,82,1C,Calcola l�esposizione cumulata dei tre prestiti pi� grandi del portafoglio.,11503415.92,"Esposizione cumulata dei tre prestiti più grandi per valuta: CHF: 11,503,415.92",11503415.92,True
283,83,1C,Qual � il totale aggregato di esposizione per i tre prestiti maggiori?,11503415.92,"Totale esposizione dei tre prestiti maggiori: 11,503,415.92 CHF",11503415.92,True
284,84,1C,Qual � l�esposizione totale coperta dai tre prestiti pi� grandi del portafoglio?,11503415.92,La esposizione totale dei tre prestiti più grandi è 11503415.92 CHF.,11503415.92,True
285,85,1C,Quanto totalizzano le esposizioni dei tre prestiti principali del portafoglio?,11503415.92,"Totale esposizioni dei tre prestiti principali: 11,503,415.92 CHF",11503415.92,True
286,86,1C,Qual � l�esposizione complessiva associata ai tre prestiti pi� grandi del portafoglio?,11503415.92,L'esposizione totale dei tre prestiti più grandi è 11503415.92 CHF.,11503415.92,True
287,87,1C,Indica la somma totale di esposizione dei tre prestiti maggiori nel portafoglio.,11503415.92,"La somma totale delle esposizioni dei tre prestiti maggiori nel portafoglio è 11.503.415,92.",11.503415.92,True
288,88,1C,Fornisci il totale di esposizione dei tre prestiti pi� esposti del portafoglio.,11503415.92,"CHF 11,503,415.92",11503415.92,True
289,89,1C,Qual � l�esposizione aggregata dei tre maggiori crediti del portafoglio?,11503415.92,La somma delle esposizioni dei tre crediti maggiori è 11503415.92 CHF.,11503415.92,True
290,90,1C,Qual � l�importo cumulato di esposizione dei tre principali prestiti?,11503415.92,"Top 3 prestiti per esposizione:
- Cliente: César Ziltener, Classe Prestito: Mortgage, Tipo: Rollover, Esposizione: 4269020.01 CHF, CollateralID: 72XHWHWARKEJ
- Cliente: Kenza Afra, Classe Prestito: Mortgage, Tipo: Rollover, Esposizione: 3839462.76 CHF, CollateralID: 88IXNYZAZGBC
- Cliente: Yosyas Meier, Classe Prestito: Mortgage, Tipo: Rollover, Esposizione: 3394933.15 CHF, CollateralID: 75BUIJXPNONX

Esposizione cumulata dei tre prestiti (per valuta): 11503415.92 CHF
Somma totale delle esposizioni (senza conversione tra valute): 11503415.92",11503415.92,True
291,91,1C,Qual � l�esposizione globale per le tre principali posizioni di credito del portafoglio?,11503415.92,Esposizione globale delle tre principali posizioni di credito: 11503415.92 (valute presenti: 11503415.92 CHF),11503415.92,True
292,92,1C,Quanto � l�esposizione totale attribuibile ai tre prestiti pi� grandi del portafoglio?,11503415.92,La somma dell'esposizione attribuibile ai tre prestiti più grandi del portafoglio è 11503415.92 CHF.,11503415.92,True
293,93,1C,Qual � l�esposizione complessiva delle tre maggiori linee di credito nel portafoglio?,11503415.92,"Le tre maggiori linee di credito nel portafoglio (con esposizione):
- Cliente ECHRUXCNYI, Collateral 72XHWHWARKEJ, Mortgage Rollover: 4269020.01 CHF
- Cliente HBVVIWQIBV, Collateral 88IXNYZAZGBC, Mortgage Rollover: 3839462.76 CHF
- Cliente CATVCCUFMF, Collateral 75BUIJXPNONX, Mortgage Rollover: 3394933.15 CHF
Esposizione totale delle tre maggiori linee: 11503415.92 CHF
Esposizione per valuta tra le tre linee principali:
  - CHF: 11503415.92",11503415.92,True
294,94,1C,Qual � la somma delle esposizioni dei tre prestiti maggiori nel portafoglio?,11503415.92,La somma delle esposizioni dei tre prestiti maggiori nel portafoglio è 11503415.92 CHF.,11503415.92,True
295,95,1C,Fornisci l�esposizione totale dei tre principali prestiti nel nostro portafoglio.,11503415.92,"Esposizione totale dei tre principali prestiti nel portafoglio:
1. ClienteID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, LoanClass Mortgage, Type Rollover, Exposure: 4269020.01 CHF
2. ClienteID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, LoanClass Mortgage, Type Rollover, Exposure: 3839462.76 CHF
3. ClienteID CATVCCUFMF, CollateralID 75BUIJXPNONX, LoanClass Mortgage, Type Rollover, Exposure: 3394933.15 CHF

Totali per valuta per i tre principali prestiti:
- CHF: 11503415.92

Esposizione totale (tutti e tre i prestiti) = 11503415.92 CHF",11503415.92,True
296,96,1C,Qual � l�esposizione cumulata dei tre pi� grandi prestiti presenti nel portafoglio?,11503415.92,L’esposizione cumulata dei tre prestiti più grandi è 11503415.92 CHF.,11503415.92,True
297,97,1C,Qual � l�esposizione totale delle tre maggiori posizioni di prestito del portafoglio?,11503415.92,L'esposizione totale delle tre maggiori posizioni di prestito del portafoglio è 11503415.92 CHF.,11503415.92,True
298,98,1C,Quanto ammonta l�esposizione aggregata dei tre prestiti pi� grandi del portafoglio?,11503415.92,L'esposizione aggregata dei tre prestiti più grandi è 11503415.92 CHF.,11503415.92,True
299,99,1C,Qual � il totale di esposizione legato ai tre prestiti pi� importanti del portafoglio?,11503415.92,Il totale dell'esposizione legata ai tre prestiti piu' importanti del portafoglio è 11503415.92.,11503415.92,True
300,100,1C,Qual � l�esposizione complessiva dei tre maggiori finanziamenti nel portafoglio?,11503415.92,"La esposizione complessiva dei tre maggiori finanziamenti nel portafoglio è 11,503,415.92 CHF.",11503415.92,True
301,1,1D,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
302,2,1D,What is the total (the sum) exposure of the 4 largest loans in the portfolio?,14717487.76,The total exposure of the four largest loans is 14717487.76 CHF.,14717487.76,True
303,3,1D,What is the total (the sum) exposure of the 5 largest loans in the portfolio?,17782995.40,Total exposure of the 5 largest loans: 17782995.4,17782995.4,True
304,4,1D,What is the total (the sum) exposure of the 6 largest loans in the portfolio?,20840463.24,"Total exposure of top 6 loans: 20,840,463.24 CHF",20840463.24,True
305,5,1D,What is the total (the sum) exposure of the 7 largest loans in the portfolio?,23832358.78,Total exposure of the 7 largest loans: 23832358.779999997,23832358.779999997,True
306,6,1D,What is the total (the sum) exposure of the 8 largest loans in the portfolio?,26823911.53,"The total exposure of the 8 largest loans is 26,823,911.53.",26823911.53,True
307,7,1D,What is the total (the sum) exposure of the 9 largest loans in the portfolio?,29787374.15,The total exposure of the 9 largest loans is 29787374.15 CHF.,29787374.15,True
308,8,1D,What is the total (the sum) exposure of the 10 largest loans in the portfolio?,32682189.75,Grand total exposure of the 10 largest loans: 32682189.75. Totals by currency for the top 10: CHF 32682189.75,32682189.75,True
309,9,1D,What is the total (the sum) exposure of the 11 largest loans in the portfolio?,35549951.45,The total exposure of the 11 largest loans is 35549951.45 CHF.,35549951.45,True
310,10,1D,What is the total (the sum) exposure of the 12 largest loans in the portfolio?,38399707.6,The total exposure of the 12 largest loans is 38399707.60 CHF.,38399707.6,True
311,11,1D,What is the total (the sum) exposure of the 13 largest loans in the portfolio?,41211503.96,The total exposure of the 13 largest loans is 41211503.96 CHF.,41211503.96,True
312,12,1D,What is the total (the sum) exposure of the 14 largest loans in the portfolio?,43971496.46,The total exposure of the 14 largest loans is 43971496.46 CHF.,43971496.46,True
313,13,1D,What is the total (the sum) exposure of the 15 largest loans in the portfolio?,46640879.83,The total exposure of the 15 largest loans is 46640879.83.,46640879.83,True
314,14,1D,What is the total (the sum) exposure of the 16 largest loans in the portfolio?,49304765.46,"The total exposure of the 16 largest loans is 49,304,765.46 CHF.",49304765.46,True
315,15,1D,What is the total (the sum) exposure of the 17 largest loans in the portfolio?,51945862.14,Total exposure of the 17 largest loans: 51945862.14,51945862.14,True
316,16,1D,What is the total (the sum) exposure of the 18 largest loans in the portfolio?,54582374.32,Total exposure of the 18 largest loans: 54582374.31999999,54582374.31999999,True
317,17,1D,What is the total (the sum) exposure of the 19 largest loans in the portfolio?,57198711.31,The total exposure of the 19 largest loans is 57198711.309999995 CHF.,57198711.309999995,True
318,18,1D,What is the total (the sum) exposure of the 20 largest loans in the portfolio?,59800173.52,The total exposure of the 20 largest loans is 59800173.52 CHF. All top-20 exposures are in CHF.,59800173.52,True
319,19,1D,What is the total (the sum) exposure of the 21 largest loans in the portfolio?,62399942.82,"The total exposure of the 21 largest loans is CHF 62,399,942.82.",62399942.82,True
320,20,1D,What is the total (the sum) exposure of the 22 largest loans in the portfolio?,64992582.15,"The total exposure of the 22 largest loans is 64,992,582.15 CHF.",64992582.15,True
321,21,1D,What is the total (the sum) exposure of the 23 largest loans in the portfolio?,67555212.36,Total exposure of the top 23 largest loans: 67555212.35999998,67555212.35999998,True
322,22,1D,What is the total (the sum) exposure of the 24 largest loans in the portfolio?,70098920.03,70098920.03,70098920.03,True
323,23,1D,What is the total (the sum) exposure of the 25 largest loans in the portfolio?,72634156.2,The total exposure of the 25 largest loans is 72634156.20.,72634156.2,True
324,24,1D,What is the total (the sum) exposure of the 26 largest loans in the portfolio?,75162217.68,"Total exposure of the 26 largest loans: 75162217.68
Exposure by currency: CHF: 75162217.68",75162217.68,True
325,25,1D,What is the total (the sum) exposure of the 27 largest loans in the portfolio?,77676130.11,The total exposure of the 27 largest loans is 77676130.11.,77676130.11,True
326,26,1D,What is the total (the sum) exposure of the 28 largest loans in the portfolio?,80184461.98,The total exposure of the 28 largest loans is 80184461.98000002.,80184461.98000002,True
327,27,1D,What is the total (the sum) exposure of the 29 largest loans in the portfolio?,82671674.68,"The total exposure of the 29 largest loans is 82,671,674.68.
Note: This sum uses Exposure values as provided. If multiple currencies are present (ExposureCCY), a currency conversion would be required for a true multi-currency total.",82671674.68,True
328,28,1D,What is the total (the sum) exposure of the 30 largest loans in the portfolio?,85143329.5,"Total exposure of the 30 largest loans: 85143329.50
Exposure by currency among top 30: 85143329.50 CHF",85143329.5,True
329,29,1D,What is the total (the sum) exposure of the 31 largest loans in the portfolio?,87608220.29,"Total exposure of the top 31 loans is 87,608,220.29.",87608220.29,True
330,30,1D,What is the total (the sum) exposure of the 32 largest loans in the portfolio?,90071580.6,Total exposure of the 32 largest loans: 90071580.60 CHF,90071580.6,True
331,31,1D,What is the total (the sum) exposure of the 33 largest loans in the portfolio?,92519203.22,The total exposure of the top 33 largest loans is 92519203.22000001.,92519203.22000001,True
332,32,1D,What is the total (the sum) exposure of the 34 largest loans in the portfolio?,94959567.2,94959567.20000002,94959567.20000002,True
333,33,1D,What is the total (the sum) exposure of the 35 largest loans in the portfolio?,97375688.55,The total exposure of the 35 largest loans is 97375688.55 CHF.,97375688.55,True
334,34,1D,What is the total (the sum) exposure of the 36 largest loans in the portfolio?,99775474.66,"The total exposure of the 36 largest loans is CHF 99,775,474.66.",99775474.66,True
335,35,1D,What is the total (the sum) exposure of the 37 largest loans in the portfolio?,102168364.4,Total exposure of the 37 largest loans: 102168364.36000001 CHF,102168364.36000001,True
336,36,1D,What is the total (the sum) exposure of the 38 largest loans in the portfolio?,104548106.1,"The total exposure of the 38 largest loans is 104,548,106.12.",104548106.12,True
337,37,1D,What is the total (the sum) exposure of the 39 largest loans in the portfolio?,106926706.7,The total exposure of the 39 largest loans is 106926706.69 CHF.,106926706.69,True
338,38,1D,What is the total (the sum) exposure of the 40 largest loans in the portfolio?,109304353.7,"The total exposure of the 40 largest loans is 109,304,353.71 CHF.",109304353.71,True
339,39,1D,What is the total (the sum) exposure of the 41 largest loans in the portfolio?,111673839,The total exposure of the 41 largest loans is 111673838.99 CHF.,111673838.99,True
340,40,1D,What is the total (the sum) exposure of the 42 largest loans in the portfolio?,114030078.9,The total exposure of the 42 largest loans is 114030078.88 CHF.,114030078.88,True
341,41,1D,What is the total (the sum) exposure of the 43 largest loans in the portfolio?,116381465.4,"CHF 116,381,465.37",116381465.37,True
342,42,1D,What is the total (the sum) exposure of the 44 largest loans in the portfolio?,118724646.9,"Total exposure of the top 44 loans: CHF 118,724,646.86",118724646.86,True
343,43,1D,What is the total (the sum) exposure of the 45 largest loans in the portfolio?,121057509.2,"Total exposure of the top 45 loans: 121,057,509.17 CHF",121057509.17,True
344,44,1D,What is the total (the sum) exposure of the 46 largest loans in the portfolio?,123372342.1,The total exposure of the top 46 loans is 123372342.09 CHF.,123372342.09,True
345,45,1D,What is the total (the sum) exposure of the 47 largest loans in the portfolio?,125685441.6,125685441.55,125685441.55,True
346,46,1D,What is the total (the sum) exposure of the 48 largest loans in the portfolio?,127997548.5,127997548.5,127997548.5,True
347,47,1D,What is the total (the sum) exposure of the 49 largest loans in the portfolio?,130293565.6,"Total exposure of the 49 largest loans: 130293565.55. Per-currency breakdown among these 49 loans: [{'ExposureCCY': 'CHF', 'Exposure': 130293565.55}]",130293565.55,True
348,48,1D,What is the total (the sum) exposure of the 50 largest loans in the portfolio?,132570045.5,"The total exposure of the 50 largest loans is 132,570,045.49 CHF.",132570045.49,True
349,49,1D,What is the total (the sum) exposure of the 51 largest loans in the portfolio?,134843853.8,"The total exposure of the 51 largest loans is 134,843,853.80.",134843853.8,True
350,50,1D,What is the total (the sum) exposure of the 52 largest loans in the portfolio?,137044165.3,"CHF 137,044,165.28",137044165.28,True
351,51,1D,What is the total (the sum) exposure of the 53 largest loans in the portfolio?,139222557.8,The total exposure of the top 53 loans is 139222557.79 CHF.,139222557.79,True
352,52,1D,What is the total (the sum) exposure of the 54 largest loans in the portfolio?,141367362.8,"Total exposure of the 54 largest loans: CHF 141,367,362.78. Exposure by currency for these top loans: CHF 141,367,362.78.",141367362.78,True
353,53,1D,What is the total (the sum) exposure of the 55 largest loans in the portfolio?,143511653.2,"The total exposure of the 55 largest loans is CHF 143,511,653.24.",143511653.24,True
354,54,1D,What is the total (the sum) exposure of the 56 largest loans in the portfolio?,145651243.6,"{'total_exposure': 145651243.57999998, 'top56_count': 56, 'currency_breakdown': {'CHF': 145651243.58}}",145651243.58,True
355,55,1D,What is the total (the sum) exposure of the 57 largest loans in the portfolio?,147780353.1,"Total exposure of the top 57 largest loans: 147,780,353.13 Breakdown by currency -> CHF: 147,780,353.13",147780353.13,True
356,56,1D,What is the total (the sum) exposure of the 58 largest loans in the portfolio?,149909413,Total exposure of the 58 largest loans: 149909413.0,149909413.0,True
357,57,1D,What is the total (the sum) exposure of the 59 largest loans in the portfolio?,152035562.4,"The total exposure of the 59 largest loans is 152,035,562.40 CHF.",152035562.4,True
358,58,1D,What is the total (the sum) exposure of the 60 largest loans in the portfolio?,154161257.2,"Total exposure of the 60 largest loans by Exposure:
CHF: 154,161,257.19
Overall total exposure across top 60 loans (unconverted): 154,161,257.19",154161257.19,True
359,59,1D,What is the total (the sum) exposure of the 61 largest loans in the portfolio?,156279753.5,Overall total exposure of the 61 largest loans: 156279753.47 (sum of Exposure). Exposure by currency: CHF: 156279753.47.,156279753.47,True
360,60,1D,What is the total (the sum) exposure of the 62 largest loans in the portfolio?,158385379.7,The total exposure of the 62 largest loans is 158385379.67.,158385379.67,True
361,61,1D,What is the total (the sum) exposure of the 63 largest loans in the portfolio?,160477829.8,160477829.78,160477829.78,True
362,62,1D,What is the total (the sum) exposure of the 64 largest loans in the portfolio?,162566205.3,The total exposure of the 64 largest loans is 162566205.29,162566205.29,True
363,63,1D,What is the total (the sum) exposure of the 65 largest loans in the portfolio?,164646831.4,"Total exposure of the 65 largest loans: 164,646,831.37 CHF",164646831.37,True
364,64,1D,What is the total (the sum) exposure of the 66 largest loans in the portfolio?,166697462.9,"Total exposure of the top 66 largest loans: 166,697,462.90 CHF",166697462.9,True
365,65,1D,What is the total (the sum) exposure of the 67 largest loans in the portfolio?,168735548.7,168735548.71,168735548.71,True
366,66,1D,What is the total (the sum) exposure of the 68 largest loans in the portfolio?,170772868.4,Total exposure of the 68 largest loans: 170772868.35. Exposure by currency for these loans: CHF: 170772868.35.,170772868.35,True
367,67,1D,What is the total (the sum) exposure of the 69 largest loans in the portfolio?,172808940.1,The total exposure of the 69 largest loans is 172808940.10.,172808940.1,True
368,68,1D,What is the total (the sum) exposure of the 70 largest loans in the portfolio?,174831932.4,"Total exposure of the 70 largest loans: CHF 174,831,932.37",174831932.37,True
369,69,1D,What is the total (the sum) exposure of the 71 largest loans in the portfolio?,176850144.7,176850144.66,176850144.66,True
370,70,1D,What is the total (the sum) exposure of the 72 largest loans in the portfolio?,178867984.4,"Total exposure of the 72 largest loans: 178,867,984.35 CHF",178867984.35,True
371,71,1D,What is the total (the sum) exposure of the 73 largest loans in the portfolio?,180876750.7,The total exposure of the top 73 loans is 180876750.73 CHF.,180876750.73,True
372,72,1D,What is the total (the sum) exposure of the 74 largest loans in the portfolio?,182884556.1,Total exposure of the 74 largest loans: 182884556.07 CHF,182884556.07,True
373,73,1D,What is the total (the sum) exposure of the 75 largest loans in the portfolio?,184892010,The total exposure of the top 75 loans is 184892009.95999998.,184892009.95999998,True
374,74,1D,What is the total (the sum) exposure of the 76 largest loans in the portfolio?,186892153.3,"Grand total exposure of the top 76 loans: 186892153.34
Exposure by currency for the top loans:
 - CHF: 186892153.34",186892153.34,True
375,75,1D,What is the total (the sum) exposure of the 77 largest loans in the portfolio?,188891437.6,The total exposure of the 77 largest loans is 188891437.62 CHF.,188891437.62,True
376,76,1D,What is the total (the sum) exposure of the 78 largest loans in the portfolio?,190888984.1,Total exposure of the top 78 loans: 190888984.10 CHF,190888984.1,True
377,77,1D,What is the total (the sum) exposure of the 79 largest loans in the portfolio?,192859920.2,The total exposure of the 79 largest loans is 192859920.17999998 (in the loans' reported currencies).,192859920.17999998,True
378,78,1D,What is the total (the sum) exposure of the 80 largest loans in the portfolio?,194821355,Total exposure of the 80 largest loans in the portfolio is 194821354.97.,194821354.97,True
379,79,1D,What is the total (the sum) exposure of the 81 largest loans in the portfolio?,196782115.5,"Total exposure for the top 81 loans: 196,782,115.54 CHF",196782115.54,True
380,80,1D,What is the total (the sum) exposure of the 82 largest loans in the portfolio?,198737579.3,"Total exposure of the 82 largest loans: 198,737,579.31 CHF.",198737579.31,True
381,81,1D,What is the total (the sum) exposure of the 83 largest loans in the portfolio?,200691548.4,200691548.37,200691548.37,True
382,82,1D,What is the total (the sum) exposure of the 84 largest loans in the portfolio?,202636987.2,The total exposure of the 84 largest loans is 202636987.22.,202636987.22,True
383,83,1D,What is the total (the sum) exposure of the 85 largest loans in the portfolio?,204560340.7,"The total exposure of the 85 largest loans is 204,560,340.69 CHF.",204560340.69,True
384,84,1D,What is the total (the sum) exposure of the 86 largest loans in the portfolio?,206473412.8,The total exposure of the top 86 loans is 206473412.82 CHF.,206473412.82,True
385,85,1D,What is the total (the sum) exposure of the 87 largest loans in the portfolio?,208375031.1,"The total exposure of the 87 largest loans is 208,375,031.12 CHF.",208375031.12,True
386,86,1D,What is the total (the sum) exposure of the 88 largest loans in the portfolio?,210274501.7,"Total exposure of the top 88 loans: CHF 210,274,501.73",210274501.73,True
387,87,1D,What is the total (the sum) exposure of the 89 largest loans in the portfolio?,212171161.1,212171161.06000003,212171161.06000003,True
388,88,1D,What is the total (the sum) exposure of the 90 largest loans in the portfolio?,214065251.4,The total exposure of the 90 largest loans is 214065251.43,214065251.43,True
389,89,1D,What is the total (the sum) exposure of the 91 largest loans in the portfolio?,215951991.1,"The total exposure of the 91 largest loans is 215,951,991.11.",215951991.11,True
390,90,1D,What is the total (the sum) exposure of the 92 largest loans in the portfolio?,217837863.3,"Total exposure of the 92 largest loans: 217837863.25000003
Currency used among these loans: CHF",217837863.25000003,True
391,91,1D,What is the total (the sum) exposure of the 93 largest loans in the portfolio?,219719691.8,Total exposure of the top 93 loans: 219719691.79 CHF,219719691.79,True
